Unnamed: 0,site_id,species_a,phenophase_a,species_b,phenophase_b,number_of_observations,kendall_tau,p_value,genus_x,species_x,species_a_common,species_a_name,genus_y,species_y,species_b_common,species_b_name,site_name
357,8806,823,498,1192,498,14,0.6667107103139691,0.001283074400331,Carpinus,caroliniana,American hornbeam,Carpinus caroliniana,Ulmus,alata,winged elm,Ulmus alata,GRSM-Tremont-Nature Trail 
358,8836,3,483,81,483,13,0.4475234075187578,0.0363888662007085,Acer,rubrum,red maple,Acer rubrum,Liquidambar,styraciflua,sweetgum,Liquidambar styraciflua,GRSM-Sugarlands Nature Trail
359,8836,3,483,82,483,13,0.4832323597540974,0.0257125123476664,Acer,rubrum,red maple,Acer rubrum,Liriodendron,tulipifera,tuliptree,Liriodendron tulipifera,GRSM-Sugarlands Nature Trail
360,8836,3,483,823,483,13,0.4267045976501319,0.0480891520533275,Acer,rubrum,red maple,Acer rubrum,Carpinus,caroliniana,American hornbeam,Carpinus caroliniana,GRSM-Sugarlands Nature Trail
368,8836,81,467,82,467,11,0.697277051246695,0.0030042622393982,Liquidambar,styraciflua,sweetgum,Liquidambar styraciflua,Liriodendron,tulipifera,tuliptree,Liriodendron tulipifera,GRSM-Sugarlands Nature Trail
371,8836,81,483,82,483,13,0.6667948594698255,0.0017308539731672,Liquidambar,styraciflua,sweetgum,Liquidambar styraciflua,Liriodendron,tulipifera,tuliptree,Liriodendron tulipifera,GRSM-Sugarlands Nature Trail
372,8836,81,483,823,483,13,0.4675719001195179,0.0274863361115103,Liquidambar,styraciflua,sweetgum,Liquidambar styraciflua,Carpinus,caroliniana,American hornbeam,Carpinus caroliniana,GRSM-Sugarlands Nature Trail
373,8836,81,498,82,498,12,0.5151515151515151,0.0209803516313932,Liquidambar,styraciflua,sweetgum,Liquidambar styraciflua,Liriodendron,tulipifera,tuliptree,Liriodendron tulipifera,GRSM-Sugarlands Nature Trail
376,8836,82,483,823,483,13,0.4370956778314643,0.041894193197355,Liriodendron,tulipifera,tuliptree,Liriodendron tulipifera,Carpinus,caroliniana,American hornbeam,Carpinus caroliniana,GRSM-Sugarlands Nature Trail
378,8899,61,483,79,483,13,0.4935064935064934,0.0199674304931967,Acer,saccharum,sugar maple,Acer saccharum,Fagus,grandifolia,American beech,Fagus grandifolia,GRSM-Newfound Gap
