Unnamed: 0,site_id,phenophase_a,phenophase_b,number_of_observations,kendall_tau,p_value,genus_x,species_x,species_a_common,species_a_name,genus_y,species_y,species_b_common,species_b_name,site_name
434,8901,467,467,12,0.6929348671835832,0.0022316179323638,Sorbus,americana,American mountain ash,Sorbus americana,Acer,spicatum,mountain maple,Acer spicatum,GRSM-Clingmans Dome Rd.
435,8901,483,498,13,0.5000432881694243,0.0195109897442854,Sorbus,americana,American mountain ash,Sorbus americana,Sorbus,americana,American mountain ash,Sorbus americana,GRSM-Clingmans Dome Rd.
437,8901,483,483,13,0.5621035095372022,0.0083390347056485,Sorbus,americana,American mountain ash,Sorbus americana,Betula,alleghaniensis,yellow birch,Betula alleghaniensis,GRSM-Clingmans Dome Rd.
440,8901,483,483,13,0.4474071525726428,0.0366387901587302,Sorbus,americana,American mountain ash,Sorbus americana,Prunus,pensylvanica,pin cherry,Prunus pensylvanica,GRSM-Clingmans Dome Rd.
442,8901,483,483,13,0.7189696052220028,0.0007402559106148,Sorbus,americana,American mountain ash,Sorbus americana,Acer,spicatum,mountain maple,Acer spicatum,GRSM-Clingmans Dome Rd.
449,8901,498,498,13,0.516567619255367,0.016330215477267,Sorbus,americana,American mountain ash,Sorbus americana,Prunus,pensylvanica,pin cherry,Prunus pensylvanica,GRSM-Clingmans Dome Rd.
450,8901,498,483,13,0.5960395606792696,0.0055900820170959,Sorbus,americana,American mountain ash,Sorbus americana,Acer,spicatum,mountain maple,Acer spicatum,GRSM-Clingmans Dome Rd.
454,8901,471,471,13,0.7248485396311461,0.0008331759151342,Betula,alleghaniensis,yellow birch,Betula alleghaniensis,Prunus,pensylvanica,pin cherry,Prunus pensylvanica,GRSM-Clingmans Dome Rd.
463,8901,483,483,13,0.5526315789473683,0.0098396614128719,Betula,alleghaniensis,yellow birch,Betula alleghaniensis,Acer,spicatum,mountain maple,Acer spicatum,GRSM-Clingmans Dome Rd.
466,8901,498,483,13,-0.4503410014021148,0.0362980985292846,Betula,alleghaniensis,yellow birch,Betula alleghaniensis,Prunus,pensylvanica,pin cherry,Prunus pensylvanica,GRSM-Clingmans Dome Rd.
475,8901,483,483,13,0.4635863249727652,0.0311502591754897,Prunus,pensylvanica,pin cherry,Prunus pensylvanica,Acer,spicatum,mountain maple,Acer spicatum,GRSM-Clingmans Dome Rd.
478,8901,498,498,13,0.6578947368421051,0.0021183935974864,Prunus,pensylvanica,pin cherry,Prunus pensylvanica,Acer,spicatum,mountain maple,Acer spicatum,GRSM-Clingmans Dome Rd.
484,8902,467,483,12,0.6259724369662708,0.0048307569036105,Acer,rubrum,red maple,Acer rubrum,Acer,rubrum,red maple,Acer rubrum,GRSM-Mingus Mill
485,8902,467,483,12,0.5846845821518305,0.0088421741541674,Acer,rubrum,red maple,Acer rubrum,Cornus,florida,flowering dogwood,Cornus florida,GRSM-Mingus Mill
487,8902,467,483,12,0.5539117094069973,0.0131271093915706,Acer,rubrum,red maple,Acer rubrum,Carya,ovata,shagbark hickory,Carya ovata,GRSM-Mingus Mill
496,8902,483,483,12,0.7287040657115997,0.0011718251821904,Acer,rubrum,red maple,Acer rubrum,Carya,ovata,shagbark hickory,Carya ovata,GRSM-Mingus Mill
498,8902,483,467,12,0.5038314736557788,0.0233149963825438,Acer,rubrum,red maple,Acer rubrum,Quercus,rubra,northern red oak,Quercus rubra,GRSM-Mingus Mill
499,8902,483,483,12,0.4923076923076924,0.027479806211379,Acer,rubrum,red maple,Acer rubrum,Quercus,rubra,northern red oak,Quercus rubra,GRSM-Mingus Mill
502,8902,483,483,12,0.4923076923076924,0.027479806211379,Acer,rubrum,red maple,Acer rubrum,Oxydendrum,arboreum,sourwood,Oxydendrum arboreum,GRSM-Mingus Mill
522,8902,483,467,12,0.5231388366621641,0.0191546447804258,Carya,ovata,shagbark hickory,Carya ovata,Quercus,rubra,northern red oak,Quercus rubra,GRSM-Mingus Mill
523,8902,483,483,12,0.5116432801804849,0.022675321110971,Carya,ovata,shagbark hickory,Carya ovata,Quercus,rubra,northern red oak,Quercus rubra,GRSM-Mingus Mill
525,8902,483,467,12,0.6356780147696934,0.0046357429770426,Carya,ovata,shagbark hickory,Carya ovata,Oxydendrum,arboreum,sourwood,Oxydendrum arboreum,GRSM-Mingus Mill
526,8902,483,483,12,0.5736606474750892,0.0106161341700328,Carya,ovata,shagbark hickory,Carya ovata,Oxydendrum,arboreum,sourwood,Oxydendrum arboreum,GRSM-Mingus Mill
535,8902,467,483,12,0.9923953268977465,7.905322790445053e-06,Quercus,rubra,northern red oak,Quercus rubra,Quercus,rubra,northern red oak,Quercus rubra,GRSM-Mingus Mill
538,8902,467,483,12,0.442760992000533,0.0462290605523907,Quercus,rubra,northern red oak,Quercus rubra,Oxydendrum,arboreum,sourwood,Oxydendrum arboreum,GRSM-Mingus Mill
544,8902,467,483,12,0.8153846153846155,0.0002607896361051,Oxydendrum,arboreum,sourwood,Oxydendrum arboreum,Oxydendrum,arboreum,sourwood,Oxydendrum arboreum,GRSM-Mingus Mill
545,8903,483,483,12,0.546875,0.0154106570520779,Cornus,florida,flowering dogwood,Cornus florida,Fagus,grandifolia,American beech,Fagus grandifolia,GRSM-Deep creek 
546,8903,483,483,12,0.453125,0.04471964048599,Cornus,florida,flowering dogwood,Cornus florida,Quercus,alba,white oak,Quercus alba,GRSM-Deep creek 
547,8903,483,483,12,0.703125,0.0018410212585438,Fagus,grandifolia,American beech,Fagus grandifolia,Quercus,alba,white oak,Quercus alba,GRSM-Deep creek 
551,8904,467,467,13,0.7785410240482681,0.0003261078686802,Prunus,serotina,black cherry,Prunus serotina,Aesculus,flava,yellow buckeye,Aesculus flava,GRSM-OVC
552,8904,467,483,13,0.5540540540540541,0.0109290105101839,Prunus,serotina,black cherry,Prunus serotina,Aesculus,flava,yellow buckeye,Aesculus flava,GRSM-OVC
554,8904,471,471,11,0.7222222222222222,0.0022540189597224,Prunus,serotina,black cherry,Prunus serotina,Tilia,americana,American basswood,Tilia americana,GRSM-OVC
559,8904,498,498,11,0.6481481481481481,0.0061204298832061,Prunus,serotina,black cherry,Prunus serotina,Aesculus,flava,yellow buckeye,Aesculus flava,GRSM-OVC
564,8904,467,483,13,0.7066666666666666,0.0010774725955096,Tilia,americana,American basswood,Tilia americana,Tilia,americana,American basswood,Tilia americana,GRSM-OVC
571,8904,467,483,13,0.7248485396311463,0.0008204859863051,Aesculus,flava,yellow buckeye,Aesculus flava,Aesculus,flava,yellow buckeye,Aesculus flava,GRSM-OVC
