Unnamed: 0,site_id,species_a,phenophase_a,species_b,phenophase_b,number_of_observations,kendall_tau,p_value,species_a_name,species_b_name,site_name
427,8902,3,Increasing leaf size,68,Leaves,12,0.5539117094069973,0.0131271093915706,red maple,shagbark hickory,GRSM-Mingus Mill
436,8902,3,Leaves,68,Leaves,12,0.7287040657115997,0.0011718251821904,red maple,shagbark hickory,GRSM-Mingus Mill
438,8902,3,Leaves,102,Increasing leaf size,12,0.5038314736557788,0.0233149963825438,red maple,northern red oak,GRSM-Mingus Mill
439,8902,3,Leaves,102,Leaves,12,0.4923076923076924,0.027479806211379,red maple,northern red oak,GRSM-Mingus Mill
442,8902,3,Leaves,1187,Leaves,12,0.4923076923076924,0.027479806211379,red maple,sourwood,GRSM-Mingus Mill
462,8902,68,Leaves,102,Increasing leaf size,12,0.5231388366621641,0.0191546447804258,shagbark hickory,northern red oak,GRSM-Mingus Mill
463,8902,68,Leaves,102,Leaves,12,0.5116432801804849,0.022675321110971,shagbark hickory,northern red oak,GRSM-Mingus Mill
465,8902,68,Leaves,1187,Increasing leaf size,12,0.6356780147696934,0.0046357429770426,shagbark hickory,sourwood,GRSM-Mingus Mill
466,8902,68,Leaves,1187,Leaves,12,0.5736606474750892,0.0106161341700328,shagbark hickory,sourwood,GRSM-Mingus Mill
477,8902,102,Increasing leaf size,1187,Leaves,12,0.442760992000533,0.0462290605523907,northern red oak,sourwood,GRSM-Mingus Mill
483,8903,12,Leaves,79,Leaves,12,0.546875,0.0154106570520779,flowering dogwood,American beech,GRSM-Deep creek 
484,8903,12,Leaves,100,Leaves,12,0.453125,0.04471964048599,flowering dogwood,white oak,GRSM-Deep creek 
485,8903,79,Leaves,100,Leaves,12,0.703125,0.0018410212585438,American beech,white oak,GRSM-Deep creek 
489,8904,28,Increasing leaf size,1172,Increasing leaf size,13,0.7785410240482681,0.0003261078686802,black cherry,yellow buckeye,GRSM-OVC
490,8904,28,Increasing leaf size,1172,Leaves,13,0.5540540540540541,0.0109290105101839,black cherry,yellow buckeye,GRSM-OVC
491,8904,28,Falling leaves,93,Falling leaves,11,0.7222222222222222,0.0022540189597224,black cherry,American basswood,GRSM-OVC
496,8904,28,Colored leaves,1172,Colored leaves,11,0.6481481481481481,0.0061204298832061,black cherry,yellow buckeye,GRSM-OVC
510,9338,3,Breaking leaf buds,823,Breaking leaf buds,13,0.6143922080988025,0.0039337873085607,red maple,American hornbeam,GRSM-Tremont-Lagoons
511,9338,3,Increasing leaf size,81,Increasing leaf size,12,0.442760992000533,0.0462290605523907,red maple,sweetgum,GRSM-Tremont-Lagoons
512,9338,3,Increasing leaf size,98,Breaking leaf buds,12,0.5757575757575757,0.0087577327507883,red maple,sweet birch,GRSM-Tremont-Lagoons
514,9338,3,Increasing leaf size,823,Increasing leaf size,12,0.5649019553110248,0.0109851589729484,red maple,American hornbeam,GRSM-Tremont-Lagoons
517,9338,3,Falling leaves,76,Colored leaves,12,0.6201736729460423,0.0057403462859958,red maple,American witchhazel,GRSM-Tremont-Lagoons
519,9338,3,Falling leaves,98,Falling leaves,12,0.6153846153846154,0.0058550185971252,red maple,sweet birch,GRSM-Tremont-Lagoons
521,9338,3,Falling leaves,970,Colored leaves,12,0.5625686771261945,0.0125645741505303,red maple,American sycamore,GRSM-Tremont-Lagoons
523,9338,3,Falling leaves,1192,Falling leaves,12,0.4615384615384615,0.0387488436156419,red maple,winged elm,GRSM-Tremont-Lagoons
524,9338,3,Falling leaves,1192,Colored leaves,12,0.5116432801804849,0.022675321110971,red maple,winged elm,GRSM-Tremont-Lagoons
527,9338,3,Leaves,81,Leaves,14,0.6179775280898877,0.0024538198087407,red maple,sweetgum,GRSM-Tremont-Lagoons
529,9338,3,Leaves,823,Leaves,14,0.6778196197865085,0.0008095994510415,red maple,American hornbeam,GRSM-Tremont-Lagoons
536,9338,3,Colored leaves,98,Falling leaves,12,0.8438530156892918,0.0001812454824754,red maple,sweet birch,GRSM-Tremont-Lagoons
537,9338,3,Colored leaves,941,Colored leaves,12,0.5354496700964052,0.0181450607327122,red maple,blackgum,GRSM-Tremont-Lagoons
538,9338,3,Colored leaves,970,Colored leaves,12,0.5555555555555555,0.0146185963490601,red maple,American sycamore,GRSM-Tremont-Lagoons
541,9338,3,Colored leaves,1192,Colored leaves,12,0.7244319066010189,0.001390965794545,red maple,winged elm,GRSM-Tremont-Lagoons
542,9338,60,Leaves,76,Leaves,14,0.6437206858203839,0.0018993600280759,striped maple,American witchhazel,GRSM-Tremont-Lagoons
543,9338,60,Leaves,81,Leaves,14,0.4067861532350118,0.0470831681868926,striped maple,sweetgum,GRSM-Tremont-Lagoons
547,9338,60,Leaves,970,Leaves,14,0.5142941109928062,0.0127092012460418,striped maple,American sycamore,GRSM-Tremont-Lagoons
549,9338,60,Leaves,1192,Leaves,14,0.5942954171472428,0.0039839305780109,striped maple,winged elm,GRSM-Tremont-Lagoons
556,9338,76,Leaves,1192,Leaves,14,0.5433616787433188,0.0089775910007405,American witchhazel,winged elm,GRSM-Tremont-Lagoons
560,9338,76,Colored leaves,970,Colored leaves,12,0.551198189805123,0.015010146495452,American witchhazel,American sycamore,GRSM-Tremont-Lagoons
561,9338,76,Colored leaves,1187,Colored leaves,12,0.4496259128858806,0.0452164215340268,American witchhazel,sourwood,GRSM-Tremont-Lagoons
569,9338,81,Falling leaves,98,Falling leaves,12,0.4923076923076924,0.027479806211379,sweetgum,sweet birch,GRSM-Tremont-Lagoons
576,9338,81,Leaves,823,Leaves,14,0.4778072729642601,0.0182199720817427,sweetgum,American hornbeam,GRSM-Tremont-Lagoons
581,9338,98,Breaking leaf buds,823,Increasing leaf size,12,0.5038314736557788,0.0233149963825438,sweet birch,American hornbeam,GRSM-Tremont-Lagoons
587,9338,98,Falling leaves,941,Colored leaves,12,0.542651963827787,0.0156501377233771,sweet birch,blackgum,GRSM-Tremont-Lagoons
588,9338,98,Falling leaves,970,Colored leaves,12,0.5000610463343952,0.0265167833177904,sweet birch,American sycamore,GRSM-Tremont-Lagoons
591,9338,98,Falling leaves,1192,Colored leaves,12,0.8527388003008082,0.0001458083832771,sweet birch,winged elm,GRSM-Tremont-Lagoons
593,9338,98,Leaves,941,Leaves,14,0.6966292134831461,0.0006390269269145,sweet birch,blackgum,GRSM-Tremont-Lagoons
594,9338,98,Leaves,970,Leaves,14,0.6591334681526582,0.0013413806058796,sweet birch,American sycamore,GRSM-Tremont-Lagoons
595,9338,98,Leaves,1187,Leaves,14,0.6033613708385918,0.0029827957416864,sweet birch,sourwood,GRSM-Tremont-Lagoons
603,9338,941,Breaking leaf buds,970,Increasing leaf size,12,0.6407032156159438,0.0044757309061251,blackgum,American sycamore,GRSM-Tremont-Lagoons
604,9338,941,Increasing leaf size,1187,Increasing leaf size,11,0.7592592592592592,0.0013218707803182,blackgum,sourwood,GRSM-Tremont-Lagoons
605,9338,941,Leaves,970,Leaves,14,0.5568541368875906,0.0067416802624623,blackgum,American sycamore,GRSM-Tremont-Lagoons
606,9338,941,Leaves,1187,Leaves,14,0.860348621380955,2.2927009396279727e-05,blackgum,sourwood,GRSM-Tremont-Lagoons
607,9338,941,Leaves,1192,Leaves,14,0.4204816952008337,0.0407731299357251,blackgum,winged elm,GRSM-Tremont-Lagoons
611,9338,941,Colored leaves,1192,Colored leaves,12,0.578125,0.0104366845302862,blackgum,winged elm,GRSM-Tremont-Lagoons
613,9338,970,Leaves,1187,Leaves,14,0.5198486861092879,0.0110930169574891,American sycamore,sourwood,GRSM-Tremont-Lagoons
614,9338,970,Leaves,1192,Leaves,14,0.4137931034482758,0.0456706320607131,American sycamore,winged elm,GRSM-Tremont-Lagoons
617,9338,970,Colored leaves,1192,Colored leaves,12,0.5354496700964052,0.0181450607327122,American sycamore,winged elm,GRSM-Tremont-Lagoons
619,9338,1187,Colored leaves,1192,Falling leaves,12,0.7692307692307693,0.0005716084710595,sourwood,winged elm,GRSM-Tremont-Lagoons
621,9339,3,Increasing leaf size,60,Increasing leaf size,13,0.4933333333333333,0.0224619796284798,red maple,striped maple,GRSM-Tremont-West Prong
623,9339,3,Increasing leaf size,823,Increasing leaf size,13,0.4266666666666666,0.048379168757838,red maple,American hornbeam,GRSM-Tremont-West Prong
627,9339,3,Falling leaves,61,Falling leaves,12,0.5038314736557788,0.0233149963825438,red maple,sugar maple,GRSM-Tremont-West Prong
628,9339,3,Falling leaves,61,Colored leaves,12,0.7786486411043856,0.0004558338469379,red maple,sugar maple,GRSM-Tremont-West Prong
633,9339,3,Falling leaves,823,Falling leaves,12,0.5343667144834019,0.0161414304530507,red maple,American hornbeam,GRSM-Tremont-West Prong
634,9339,3,Falling leaves,1172,Falling leaves,12,0.4615930911724977,0.0387418384632915,red maple,yellow buckeye,GRSM-Tremont-West Prong
